s,value,areaname,sexname,areacode,statname
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000014/earnings/annual-pay-gross/earnings-statistics/75-0/sex/male/working-pattern/full-time/gbp/value,3.91E+04,Falkirk,Male,S12000014,75
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000015/earnings/annual-pay-gross/earnings-statistics/median/sex/male/working-pattern/full-time/gbp/value,2.90E+04,Fife,Male,S12000015,Median
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000015/earnings/annual-pay-gross/earnings-statistics/mean/sex/male/working-pattern/full-time/gbp/value,3.17E+04,Fife,Male,S12000015,Mean
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000015/earnings/annual-pay-gross/earnings-statistics/percentiles-10-0/sex/male/working-pattern/full-time/gbp/value,1.54E+04,Fife,Male,S12000015,Percentiles 10.0
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000015/earnings/annual-pay-gross/earnings-statistics/20-0/sex/male/working-pattern/full-time/gbp/value,1.94E+04,Fife,Male,S12000015,20
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000015/earnings/annual-pay-gross/earnings-statistics/25-0/sex/male/working-pattern/full-time/gbp/value,2.07E+04,Fife,Male,S12000015,25
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000015/earnings/annual-pay-gross/earnings-statistics/30-0/sex/male/working-pattern/full-time/gbp/value,2.29E+04,Fife,Male,S12000015,30
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000015/earnings/annual-pay-gross/earnings-statistics/40-0/sex/male/working-pattern/full-time/gbp/value,2.58E+04,Fife,Male,S12000015,40
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000015/earnings/annual-pay-gross/earnings-statistics/60-0/sex/male/working-pattern/full-time/gbp/value,3.21E+04,Fife,Male,S12000015,60
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000015/earnings/annual-pay-gross/earnings-statistics/75-0/sex/male/working-pattern/full-time/gbp/value,3.67E+04,Fife,Male,S12000015,75
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000046/earnings/annual-pay-gross/earnings-statistics/median/sex/male/working-pattern/full-time/gbp/value,3.12E+04,Glasgow City,Male,S12000046,Median
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000046/earnings/annual-pay-gross/earnings-statistics/mean/sex/male/working-pattern/full-time/gbp/value,3.80E+04,Glasgow City,Male,S12000046,Mean
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000046/earnings/annual-pay-gross/earnings-statistics/percentiles-10-0/sex/male/working-pattern/full-time/gbp/value,1.71E+04,Glasgow City,Male,S12000046,Percentiles 10.0
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000046/earnings/annual-pay-gross/earnings-statistics/20-0/sex/male/working-pattern/full-time/gbp/value,2.10E+04,Glasgow City,Male,S12000046,20
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000046/earnings/annual-pay-gross/earnings-statistics/25-0/sex/male/working-pattern/full-time/gbp/value,2.30E+04,Glasgow City,Male,S12000046,25
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000046/earnings/annual-pay-gross/earnings-statistics/30-0/sex/male/working-pattern/full-time/gbp/value,2.49E+04,Glasgow City,Male,S12000046,30
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000046/earnings/annual-pay-gross/earnings-statistics/40-0/sex/male/working-pattern/full-time/gbp/value,2.83E+04,Glasgow City,Male,S12000046,40
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000046/earnings/annual-pay-gross/earnings-statistics/60-0/sex/male/working-pattern/full-time/gbp/value,3.49E+04,Glasgow City,Male,S12000046,60
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000046/earnings/annual-pay-gross/earnings-statistics/70-0/sex/male/working-pattern/full-time/gbp/value,3.90E+04,Glasgow City,Male,S12000046,70
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000046/earnings/annual-pay-gross/earnings-statistics/75-0/sex/male/working-pattern/full-time/gbp/value,4.17E+04,Glasgow City,Male,S12000046,75
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000046/earnings/annual-pay-gross/earnings-statistics/80-0/sex/male/working-pattern/full-time/gbp/value,4.47E+04,Glasgow City,Male,S12000046,80
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000017/earnings/annual-pay-gross/earnings-statistics/median/sex/male/working-pattern/full-time/gbp/value,2.92E+04,Highland,Male,S12000017,Median
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000017/earnings/annual-pay-gross/earnings-statistics/mean/sex/male/working-pattern/full-time/gbp/value,3.42E+04,Highland,Male,S12000017,Mean
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000017/earnings/annual-pay-gross/earnings-statistics/percentiles-10-0/sex/male/working-pattern/full-time/gbp/value,1.66E+04,Highland,Male,S12000017,Percentiles 10.0
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000017/earnings/annual-pay-gross/earnings-statistics/20-0/sex/male/working-pattern/full-time/gbp/value,2.02E+04,Highland,Male,S12000017,20
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000017/earnings/annual-pay-gross/earnings-statistics/25-0/sex/male/working-pattern/full-time/gbp/value,2.19E+04,Highland,Male,S12000017,25
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000017/earnings/annual-pay-gross/earnings-statistics/30-0/sex/male/working-pattern/full-time/gbp/value,2.35E+04,Highland,Male,S12000017,30
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000017/earnings/annual-pay-gross/earnings-statistics/40-0/sex/male/working-pattern/full-time/gbp/value,2.62E+04,Highland,Male,S12000017,40
